Question,Answer
"41_a","A"
"41_b","A"
"41_c","B"
"41_d","A"
"42_a","A"
"42_b","A"
"42_c","A"
"42_d","A"
"43_a","A"
"43_b","A"
"43_c","B"
"43_d","B"
"44_a","B"
"44_b","A"
"44_c","A"
"44_d","B"
"45_a","B"
"45_b","A"
"45_c","B"
"45_d","A"
"46_a","B"
"46_b","A"
"46_c","B"
"46_d","B"
"47_a","A"
"47_b","B"
"47_c","A"
"47_d","B"
"48_a","B"
"48_b","A"
"48_c","B"
"48_d","B"
"mdt_1","4"
"mdt_2","6"
"mdt_3","2"
"q1","A"
"q10","B"
"q11","C"
"q12","B"
"q13","C"
"q14","D"
"q15","A"
"q16","B"
"q17","C"
"q18","D"
"q19","B"
"q2","B"
"q20","B"
"q21","A"
"q22","A"
"q23","B"
"q24","C"
"q25","B"
"q26","C"
"q27","D"
"q28","D"
"q29","A"
"q3","C"
"q30","B"
"q31","C"
"q32","B"
"q33","B"
"q34","D"
"q35","D"
"q36","C"
"q37","A"
"q38","A"
"q39","B"
"q4","C"
"q40","D"
"q5","C"
"q6","A"
"q7","D"
"q8","C"
"q9","C"
"sbd_1","4"
"sbd_2","1"
"sbd_3","1"
"sbd_4","4"
"sbd_5","2"
"sbd_6","9"
